source_log,phase,fold,epoch,total_epochs,steps,epoch_seconds,ms_per_step,auc,hard_accuracy,loss,precision,recall,val_auc,val_hard_accuracy,val_loss,val_precision,val_recall,learning_rate
phase1-fold1-2.txt,phase1_cv,2,22,100,985,282,286,0.9659,0.9855,0.0089,0.9952,0.8873,0.9506,0.8029,0.079,0.9424,0.6419,9.6396e-05
phase1-fold1-2.txt,phase1_cv,2,23,100,985,280,284,0.9661,0.9854,0.0086,0.995,0.8862,0.9555,0.8039,0.0715,0.9491,0.6391,5.5442e-05
phase1-fold1-2.txt,phase1_cv,2,24,100,985,280,284,0.9664,0.9862,0.0085,0.9954,0.8857,0.9508,0.8023,0.0799,0.9488,0.6359,2.5447e-05
phase1-fold1-2.txt,phase1_cv,2,25,100,985,279,283,0.9671,0.986,0.0085,0.9955,0.8881,0.953,0.8056,0.0759,0.9468,0.6444,7.1497e-06
phase1-fold1-2.txt,phase1_cv,2,26,100,985,277,281,0.9643,0.9787,0.0112,0.9904,0.8821,0.9537,0.8902,0.044,0.9289,0.8432,0.001
phase1-fold1-2.txt,phase1_cv,2,27,100,985,278,282,0.9649,0.9798,0.0109,0.9917,0.8824,0.957,0.7751,0.0736,0.9569,0.5724,0.00099846
phase1-fold1-2.txt,phase1_cv,2,28,100,985,279,284,0.9655,0.9815,0.0103,0.992,0.8856,0.8836,0.8048,0.0985,0.8897,0.6924,0.00099385
phase1-fold1-2.txt,phase1_cv,2,29,100,985,279,283,0.9651,0.9813,0.0104,0.9923,0.8833,0.9406,0.8463,0.0641,0.9236,0.7524,0.0009862
phase1-fold3.txt,phase1_cv,3,1,100,976,374,368,0.5311,0.5562,0.1601,0.6741,0.331,0.6265,0.5902,0.1042,0.7137,0.2952,1e-06
phase1-fold3.txt,phase1_cv,3,2,100,976,320,327,0.8917,0.8538,0.0512,0.9108,0.7613,0.9016,0.8362,0.0579,0.7957,0.9028,0.0002008
phase1-fold3.txt,phase1_cv,3,3,100,976,324,332,0.9353,0.9087,0.034,0.9396,0.8339,0.9071,0.8581,0.0565,0.8504,0.8677,0.0004006
phase1-fold3.txt,phase1_cv,3,4,100,976,313,321,0.9477,0.9346,0.0261,0.9567,0.8541,0.9229,0.8355,0.0555,0.8692,0.7881,0.0006004
phase1-fold3.txt,phase1_cv,3,5,100,976,305,312,0.9526,0.9497,0.0216,0.9687,0.8618,0.9347,0.842,0.0519,0.8888,0.7802,0.0008002
phase1-fold3.txt,phase1_cv,3,6,100,976,303,310,0.9557,0.9589,0.0188,0.977,0.8671,0.9198,0.8273,0.0825,0.9031,0.7316,0.001
phase1-fold3.txt,phase1_cv,3,7,100,976,296,303,0.9589,0.966,0.016,0.9822,0.8716,0.9373,0.8201,0.0639,0.9011,0.7173,0.00099385
phase1-fold3.txt,phase1_cv,3,8,100,976,290,297,0.9612,0.9714,0.0141,0.9856,0.8768,0.9234,0.8357,0.0853,0.8777,0.7784,0.00097555
phase1-fold3.txt,phase1_cv,3,9,100,976,290,297,0.9621,0.9753,0.0128,0.988,0.8799,0.9096,0.8339,0.0776,0.8882,0.7624,0.00094556
phase1-fold3.txt,phase1_cv,3,10,100,976,286,293,0.9635,0.977,0.0122,0.9896,0.8823,0.9051,0.7696,0.0802,0.8612,0.6404,0.0009046
phase1-fold3.txt,phase1_cv,3,11,100,976,287,294,0.963,0.9799,0.0114,0.991,0.8829,0.9136,0.8335,0.0794,0.8905,0.7588,0.0008537
phase1-fold3.txt,phase1_cv,3,12,100,976,284,290,0.9638,0.9811,0.0107,0.9919,0.8845,0.9322,0.8155,0.0854,0.8978,0.7102,0.0007941
phase1-fold3.txt,phase1_cv,3,13,100,976,284,291,0.9643,0.9827,0.0102,0.993,0.8844,0.921,0.8151,0.081,0.8908,0.7165,0.00072727
phase1-fold3.txt,phase1_cv,3,14,100,976,286,293,0.9644,0.9839,0.0097,0.9934,0.8853,0.9307,0.8341,0.0755,0.894,0.7565,0.00065485
phase1-fold3.txt,phase1_cv,3,15,100,976,281,288,0.9648,0.9849,0.0092,0.9945,0.8859,0.9267,0.8418,0.0698,0.8778,0.7925,0.00057864
phase1-fold3.txt,phase1_cv,3,16,100,976,280,287,0.9649,0.9857,0.0089,0.9949,0.8874,0.9374,0.8337,0.0719,0.8893,0.7607,0.0005005
phase1-fold3.txt,phase1_cv,3,17,100,976,282,289,0.9653,0.9865,0.0086,0.9954,0.8868,0.9422,0.8373,0.0724,0.9066,0.7505,0.00042236
phase1-fold3.txt,phase1_cv,3,18,100,976,278,284,0.9658,0.9868,0.0084,0.9955,0.8894,0.9397,0.8236,0.0636,0.8864,0.7405,0.00034615
phase1-fold3.txt,phase1_cv,3,19,100,976,281,288,0.9659,0.9878,0.0081,0.9957,0.8884,0.9395,0.8263,0.0637,0.8906,0.7422,0.00027373
phase1-fold3.txt,phase1_cv,3,20,100,976,282,289,0.9662,0.9881,0.008,0.9964,0.8882,0.9319,0.7988,0.0691,0.8752,0.6948,0.0002069
phase1-fold3.txt,phase1_cv,3,21,100,976,293,301,0.9664,0.9887,0.0076,0.9967,0.8881,0.9338,0.7986,0.0697,0.8881,0.6811,0.0001473
phase1-fold3.txt,phase1_cv,3,22,100,976,288,295,0.9666,0.9892,0.0076,0.9969,0.8897,0.9427,0.842,0.0618,0.8953,0.773,9.6396e-05
phase1-fold3.txt,phase1_cv,3,23,100,976,281,288,0.9673,0.9892,0.0074,0.9969,0.8911,0.937,0.8248,0.0634,0.8842,0.7457,5.5442e-05
phase1-fold3.txt,phase1_cv,3,24,100,976,274,281,0.966,0.9893,0.0074,0.9967,0.8879,0.9415,0.8311,0.0625,0.8944,0.7493,2.5447e-05
phase1-fold3.txt,phase1_cv,3,25,100,976,275,281,0.9673,0.9897,0.0073,0.9974,0.8905,0.9394,0.8269,0.0643,0.8919,0.7422,7.1497e-06
phase1-fold3.txt,phase1_cv,3,26,100,976,274,281,0.9649,0.9843,0.0095,0.9938,0.8858,0.9414,0.8309,0.063,0.8928,0.7505,0.001
phase1-fold3.txt,phase1_cv,3,27,100,976,276,282,0.9648,0.9848,0.0092,0.994,0.8866,0.9215,0.8166,0.0749,0.8645,0.7491,0.00099846
phase1-fold3.txt,phase1_cv,3,28,100,976,274,281,0.965,0.9852,0.0092,0.9945,0.8866,0.9079,0.7968,0.0792,0.8447,0.7252,0.00099385
phase1-fold3.txt,phase1_cv,3,29,100,976,274,281,0.9649,0.986,0.0088,0.9947,0.8867,0.9333,0.8416,0.0664,0.8859,0.7825,0.0009862
phase1-fold3.txt,phase1_cv,3,30,100,976,274,281,0.9648,0.9863,0.0086,0.9947,0.8863,0.9413,0.8176,0.0687,0.8965,0.7162,0.00097555
phase1-fold3.txt,phase1_cv,3,31,100,976,275,281,0.9656,0.9868,0.0084,0.9952,0.8886,0.9414,0.8498,0.061,0.902,0.7835,0.00096198
phase1-fold3.txt,phase1_cv,3,32,100,976,274,280,0.9656,0.9872,0.0083,0.9955,0.8878,0.9375,0.8234,0.0626,0.8812,0.7457,0.00094556
phase1-fold3.txt,phase1_cv,3,33,100,976,274,280,0.9661,0.988,0.008,0.996,0.8892,0.93,0.8459,0.0584,0.871,0.8106,0.00092639
phase1-fold3.txt,phase1_cv,3,34,100,976,274,281,0.9664,0.9881,0.0079,0.9961,0.8901,0.9401,0.8143,0.0655,0.8891,0.7162,0.0009046
phase1-fold3.txt,phase1_cv,3,35,100,976,274,280,0.9663,0.9886,0.0077,0.9961,0.8892,0.9305,0.8132,0.0589,0.8741,0.73,0.00088032
phase1-fold3.txt,phase1_cv,3,36,100,976,274,280,0.9665,0.9887,0.0076,0.9963,0.8891,0.9302,0.8148,0.0705,0.8937,0.7127,0.0008537
phase1-fold3.txt,phase1_cv,3,37,100,976,273,280,0.9665,0.9887,0.0076,0.9964,0.8883,0.9311,0.8038,0.0754,0.8724,0.7098,0.0008249
phase1-fold3.txt,phase1_cv,3,38,100,976,273,279,0.9669,0.9893,0.0073,0.9967,0.8894,0.9343,0.8513,0.0557,0.8786,0.8137,0.0007941
phase1-fold3.txt,phase1_cv,3,39,100,976,274,280,0.9662,0.9896,0.0072,0.9969,0.8887,0.9402,0.8177,0.0619,0.8905,0.7227,0.00076149
phase1-fold3.txt,phase1_cv,3,40,100,976,274,281,0.9668,0.9898,0.0072,0.9969,0.8896,0.9404,0.8415,0.0597,0.8907,0.7769,0.00072727
phase1-fold3.txt,phase1_cv,3,41,100,976,275,281,0.9669,0.9902,0.007,0.997,0.8907,0.9311,0.8365,0.0613,0.8695,0.7902,0.00069165
phase1-fold3.txt,phase1_cv,3,42,100,976,272,279,0.9673,0.9905,0.0068,0.997,0.8907,0.9386,0.8378,0.0617,0.8955,0.7634,0.00065485
phase1-fold3.txt,phase1_cv,3,43,100,976,272,279,0.9673,0.9907,0.0068,0.9973,0.891,0.9478,0.8389,0.0477,0.8898,0.7719,0.00061711
phase1-fold3.txt,phase1_cv,3,44,100,976,272,279,0.9672,0.991,0.0066,0.9973,0.8917,0.9489,0.8398,0.0636,0.9072,0.7555,0.00057864
phase1-fold3.txt,phase1_cv,3,45,100,976,272,279,0.967,0.9913,0.0065,0.9975,0.8898,0.9465,0.8598,0.0519,0.8991,0.8091,0.00053969
phase1-fold3.txt,phase1_cv,3,46,100,976,272,279,0.9673,0.9914,0.0064,0.9977,0.8914,0.9496,0.8753,0.0511,0.8972,0.8465,0.0005005
phase1-fold3.txt,phase1_cv,3,47,100,976,270,276,0.9678,0.9915,0.0063,0.9976,0.8918,0.948,0.8217,0.0545,0.9015,0.7206,0.00046131
phase1-fold3.txt,phase1_cv,3,48,100,976,271,278,0.9672,0.9917,0.0063,0.9977,0.8926,0.9399,0.8528,0.0538,0.884,0.8108,0.00042236
phase1-fold3.txt,phase1_cv,3,49,100,976,273,279,0.9673,0.9925,0.006,0.998,0.8923,0.9402,0.8551,0.0574,0.8831,0.8172,0.00038389
phase1-fold3.txt,phase1_cv,3,50,100,976,272,279,0.9676,0.9921,0.0061,0.9981,0.8905,0.9518,0.8718,0.0453,0.9019,0.833,0.00034615
phase1-fold3.txt,phase1_cv,3,51,100,976,275,281,0.9677,0.9925,0.006,0.9982,0.8925,0.9542,0.873,0.0504,0.9015,0.8363,0.00030935
phase1-fold3.txt,phase1_cv,3,52,100,976,272,278,0.9677,0.9925,0.0059,0.998,0.8926,0.9472,0.8392,0.052,0.8929,0.7692,0.00027373
phase1-fold3.txt,phase1_cv,3,53,100,976,272,278,0.9679,0.9926,0.0058,0.998,0.8921,0.9469,0.8438,0.0542,0.8964,0.7761,0.00023951
phase1-fold3.txt,phase1_cv,3,54,100,976,274,280,0.9673,0.9927,0.0059,0.9983,0.8913,0.9428,0.8466,0.054,0.8948,0.7842,0.0002069
phase1-fold3.txt,phase1_cv,3,55,100,976,271,278,0.9677,0.993,0.0057,0.9983,0.8923,0.9465,0.87,0.0461,0.8884,0.845,0.0001761
phase1-fold3.txt,phase1_cv,3,56,100,976,274,281,0.967,0.993,0.0057,0.9983,0.8914,0.9349,0.8141,0.0595,0.8725,0.7337,0.0001473
phase1-fold3.txt,phase1_cv,3,57,100,976,271,278,0.9682,0.9931,0.0057,0.9983,0.8916,0.9413,0.8109,0.0585,0.8866,0.7111,0.00012068
phase1-fold3.txt,phase1_cv,3,58,100,976,271,277,0.9673,0.9933,0.0056,0.9985,0.892,0.9479,0.8493,0.0496,0.9022,0.7821,9.6396e-05
phase1-fold3.txt,phase1_cv,3,59,100,976,269,276,0.9675,0.9934,0.0056,0.9982,0.8914,0.9485,0.8496,0.0498,0.9015,0.7835,7.4606e-05
phase1-fold3.txt,phase1_cv,3,60,100,976,272,278,0.9674,0.9934,0.0056,0.9986,0.8922,0.9506,0.8587,0.0498,0.9009,0.8047,5.5442e-05
phase1-fold3.txt,phase1_cv,3,61,100,976,271,277,0.9681,0.9934,0.0055,0.9986,0.893,0.9462,0.8478,0.0509,0.8975,0.7838,3.9022e-05
phase1-fold3.txt,phase1_cv,3,62,100,976,271,278,0.968,0.9934,0.0054,0.9987,0.8933,0.9497,0.8569,0.0483,0.8975,0.8043,2.5447e-05
phase1-fold3.txt,phase1_cv,3,63,100,976,270,276,0.9682,0.9935,0.0055,0.9986,0.8932,0.949,0.8658,0.0467,0.8954,0.827,1.4801e-05
phase1-fold3.txt,phase1_cv,3,64,100,976,272,278,0.9683,0.9935,0.0054,0.9986,0.8939,0.9491,0.8589,0.048,0.8962,0.8106,7.1497e-06
phase1-fold3.txt,phase1_cv,3,65,100,976,272,279,0.9676,0.9937,0.0054,0.9986,0.8923,0.9491,0.858,0.0482,0.8976,0.8068,2.5398e-06
phase1-fold3.txt,phase1_cv,3,66,100,976,274,280,0.9667,0.9901,0.007,0.9965,0.8903,0.9496,0.8804,0.0448,0.8762,0.8847,0.001
